brand_name	conceptid	drug_name
"atridox"	"372478003"	"doxycycline (substance)"
"doryx"	"372478003"	"doxycycline (substance)"
"morgidox"	"372478003"	"doxycycline (substance)"
"periostat"	"372478003"	"doxycycline (substance)"
"doxy"	"372478003"	"doxycycline (substance)"
"vibra-tabs"	"372478003"	"doxycycline (substance)"
"oracea"	"372478003"	"doxycycline (substance)"
"tonocard"	"372479006"	"tocainide (substance)"
"gabitril"	"372485004"	"tiagabine (substance)"
"zofran"	"372487007"	"ondansetron (substance)"
"zuplenz"	"372487007"	"ondansetron (substance)"
"anzemet"	"372488002"	"dolasetron (substance)"
"granisol"	"372489005"	"granisetron (substance)"
"sancuso"	"372489005"	"granisetron (substance)"
"kytril"	"372489005"	"granisetron (substance)"
"effexor"	"372490001"	"venlafaxine (substance)"
"serzone"	"372491002"	"nefazodone (substance)"
"mivacron"	"372493004"	"mivacurium (substance)"
"zemuron"	"372494005"	"rocuronium (substance)"
"nimbex"	"372495006"	"cisatracurium (substance)"
"nuromax"	"372496007"	"doxacurium (substance)"
"carbex"	"372497003"	"selegiline (substance)"
"zelapar"	"372497003"	"selegiline (substance)"
"emsam"	"372497003"	"selegiline (substance)"
"atapryl"	"372497003"	"selegiline (substance)"
"eldepryl"	"372497003"	"selegiline (substance)"
"anipryl"	"372497003"	"selegiline (substance)"
"prascend"	"372498008"	"pergolide (substance)"
"permax"	"372498008"	"pergolide (substance)"
"requip"	"372499000"	"ropinirole (substance)"
"corvert"	"372500009"	"ibutilide (substance)"
"acular"	"372501008"	"ketorolac (substance)"
"toradol"	"372501008"	"ketorolac (substance)"
"acuvail"	"372501008"	"ketorolac (substance)"
"sprix"	"372501008"	"ketorolac (substance)"
"cardene"	"372502001"	"nicardipine (substance)"
"vascor"	"372503006"	"bepridil (substance)"
"orvaten"	"372504000"	"midodrine (substance)"
"proamatine"	"372504000"	"midodrine (substance)"
"levatol"	"372505004"	"penbutolol (substance)"
"intuniv"	"372507007"	"guanfacine (substance)"
"tenex"	"372507007"	"guanfacine (substance)"
"cardura"	"372508002"	"doxazosin (substance)"
"flomax"	"372509005"	"tamsulosin (substance)"
"jalyn"	"372509005"	"tamsulosin (substance)"
"monopril"	"372510000"	"fosinopril (substance)"
"lotensin"	"372511001"	"benazepril (substance)"
"atacand"	"372512008"	"candesartan (substance)"
"veletri"	"372513003"	"epoprostenol (substance)"
"flolan"	"372513003"	"epoprostenol (substance)"
"serevent"	"372515005"	"salmeterol (substance)"
"serevent diskus"	"372515005"	"salmeterol (substance)"
"advair"	"372515005"	"salmeterol (substance)"
"maxair"	"372516006"	"pirbuterol (substance)"
"atrovent nasal"	"372518007"	"ipratropium (substance)"
"atrovent"	"372518007"	"ipratropium (substance)"
"tilade"	"372519004"	"nedocromil (substance)"
"alocril"	"372519004"	"nedocromil (substance)"
"optivar"	"372520005"	"azelastine (substance)"
"dymista"	"372520005"	"azelastine (substance)"
"astepro"	"372520005"	"azelastine (substance)"
"astelin"	"372520005"	"azelastine (substance)"
"mucinex non-drowsy allergy"	"372522002"	"fexofenadine (substance)"
"wal-fex"	"372522002"	"fexofenadine (substance)"
"allegra"	"372522002"	"fexofenadine (substance)"
"rx-act all day allergy relief"	"372523007"	"cetirizine (substance)"
"zyrtec"	"372523007"	"cetirizine (substance)"
"alleroff"	"372523007"	"cetirizine (substance)"
"aller-tec"	"372523007"	"cetirizine (substance)"
"pediacare children's 24-hr allergy"	"372523007"	"cetirizine (substance)"
"wal-zyr"	"372523007"	"cetirizine (substance)"
"wal zyr 24 hour allergy"	"372523007"	"cetirizine (substance)"
"halfan"	"372527008"	"halofantrine (substance)"
"crixivan"	"372529006"	"indinavir (substance)"
"invirase"	"372530001"	"saquinavir (substance)"
"fortovase"	"372530001"	"saquinavir (substance)"
"flumadine"	"372532009"	"rimantadine (substance)"
"vaniqa"	"372533004"	"eflornithine (substance)"
"monurol"	"372534005"	"fosfomycin (substance)"
"copaxone"	"372535006"	"glatiramer (substance)"
"glatopa"	"372535006"	"glatiramer (substance)"
"hycamtin"	"372536007"	"topotecan (substance)"
"camptosar"	"372538008"	"irinotecan (substance)"
"idamycin"	"372539000"	"idarubicin (substance)"
"navelbine"	"372541004"	"vinorelbine (substance)"
"mirvaso"	"372547000"	"brimonidine (substance)"
"simbrinza"	"372547000"	"brimonidine (substance)"
"alphagan"	"372547000"	"brimonidine (substance)"
"rev-eyes"	"372549002"	"dapiprazole (substance)"
"patanol"	"372550002"	"olopatadine (substance)"
"patanase"	"372550002"	"olopatadine (substance)"
"pazeo"	"372550002"	"olopatadine (substance)"
"pataday"	"372550002"	"olopatadine (substance)"
"emadine"	"372551003"	"emedastine (substance)"
"alomide"	"372552005"	"lodoxamide (substance)"
"livostin"	"372554006"	"levocabastine (substance)"
"agrylin"	"372561005"	"anagrelide (substance)"
"lovenox"	"372562003"	"enoxaparin (substance)"
"fragmin"	"372563008"	"dalteparin (substance)"
"orgaran"	"372564002"	"danaparoid (substance)"
"fortamet"	"372567009"	"metformin (substance)"
"jentadueto"	"372567009"	"metformin (substance)"
"glucophage"	"372567009"	"metformin (substance)"
"actoplus met"	"372567009"	"metformin (substance)"
"prandimet"	"372567009"	"metformin (substance)"
"kazano"	"372567009"	"metformin (substance)"
"invokamet"	"372567009"	"metformin (substance)"
"avandamet"	"372567009"	"metformin (substance)"
"xigduo"	"372567009"	"metformin (substance)"
"kombiglyze"	"372567009"	"metformin (substance)"
"janumet"	"372567009"	"metformin (substance)"
"riomet"	"372567009"	"metformin (substance)"
"glumetza"	"372567009"	"metformin (substance)"
"detrol"	"372570008"	"tolterodine (substance)"
"elmiron"	"372571007"	"pentosan polysulfate (substance)"
"viagra"	"372572000"	"sildenafil (substance)"
"revatio"	"372572000"	"sildenafil (substance)"
"azasan"	"372574004"	"azathioprine (substance)"
"imuran"	"372574004"	"azathioprine (substance)"
"ticar"	"372577006"	"ticarcillin (substance)"
"timentin add-vantage"	"372577006"	"ticarcillin (substance)"
"dexasol"	"372584003"	"dexamethasone (substance)"
"dexacidin"	"372584003"	"dexamethasone (substance)"
"dexaject"	"372584003"	"dexamethasone (substance)"
"methadex"	"372584003"	"dexamethasone (substance)"
"neo-dexair"	"372584003"	"dexamethasone (substance)"
"maxidex"	"372584003"	"dexamethasone (substance)"
"decadron"	"372584003"	"dexamethasone (substance)"
"ozurdex"	"372584003"	"dexamethasone (substance)"
"de-sone la"	"372584003"	"dexamethasone (substance)"
"dexacort phosphate in respihaler"	"372584003"	"dexamethasone (substance)"
"ak-trol"	"372584003"	"dexamethasone (substance)"
"ocu-dex"	"372584003"	"dexamethasone (substance)"
"dexacort phosphate in turbinaire"	"372584003"	"dexamethasone (substance)"
"dexacort-la"	"372584003"	"dexamethasone (substance)"
"dexium"	"372584003"	"dexamethasone (substance)"
"ak-dex"	"372584003"	"dexamethasone (substance)"
"tobradex"	"372584003"	"dexamethasone (substance)"
"neo-dex"	"372584003"	"dexamethasone (substance)"
"decaspray"	"372584003"	"dexamethasone (substance)"
"tresaderm"	"372584003"	"dexamethasone (substance)"
"ak-neo-dex"	"372584003"	"dexamethasone (substance)"
"poly-dex"	"372584003"	"dexamethasone (substance)"
"neo-decadron"	"372584003"	"dexamethasone (substance)"
"ocu-trol"	"372584003"	"dexamethasone (substance)"
"dexasporin"	"372584003"	"dexamethasone (substance)"
"dalalone"	"372584003"	"dexamethasone (substance)"
"hexadrol"	"372584003"	"dexamethasone (substance)"
"dexamethasone intensol"	"372584003"	"dexamethasone (substance)"
"maxitrol"	"372584003"	"dexamethasone (substance)"
"decadron with xylocaine"	"372584003"	"dexamethasone (substance)"
"aeroseb-dex"	"372584003"	"dexamethasone (substance)"
"decadron-la"	"372584003"	"dexamethasone (substance)"
"dexasone"	"372584003"	"dexamethasone (substance)"
"baycadron"	"372584003"	"dexamethasone (substance)"
"dexacine"	"372584003"	"dexamethasone (substance)"
"silenor"	"372587005"	"doxepin (substance)"
"zonalon"	"372587005"	"doxepin (substance)"
"prudoxin"	"372587005"	"doxepin (substance)"
"sinequan"	"372587005"	"doxepin (substance)"
"adapin"	"372587005"	"doxepin (substance)"
"midol extended relief"	"372588000"	"naproxen (substance)"
"aleve"	"372588000"	"naproxen (substance)"
"rx-act all day pain relief"	"372588000"	"naproxen (substance)"
"aleve-d"	"372588000"	"naproxen (substance)"
"treximet"	"372588000"	"naproxen (substance)"
"menstridol"	"372588000"	"naproxen (substance)"
"anaprox"	"372588000"	"naproxen (substance)"
"sudafed sinus & pain 12 hour"	"372588000"	"naproxen (substance)"
"vimovo"	"372588000"	"naproxen (substance)"
"ec-naprosyn"	"372588000"	"naproxen (substance)"
"naprelan"	"372588000"	"naproxen (substance)"
"naprosyn"	"372588000"	"naproxen (substance)"
"wal-proxen"	"372588000"	"naproxen (substance)"
"aleve sinus & headache"	"372588000"	"naproxen (substance)"
"aflaxen"	"372588000"	"naproxen (substance)"
"procanbid"	"372589008"	"procainamide (substance)"
"pronestyl"	"372589008"	"procainamide (substance)"
"procan sr"	"372589008"	"procainamide (substance)"
"zoloft"	"372594008"	"sertraline (substance)"
"paxil"	"372595009"	"paroxetine (substance)"
"pexeva"	"372595009"	"paroxetine (substance)"
"brisdelle"	"372595009"	"paroxetine (substance)"
"celexa"	"372596005"	"citalopram (substance)"
"metrocream"	"372602008"	"metronidazole (substance)"
"nydamax"	"372602008"	"metronidazole (substance)"
"metrogel"	"372602008"	"metronidazole (substance)"
"rosadan"	"372602008"	"metronidazole (substance)"
"vitazol"	"372602008"	"metronidazole (substance)"
"noritate"	"372602008"	"metronidazole (substance)"
"pylera"	"372602008"	"metronidazole (substance)"
"metro i.v."	"372602008"	"metronidazole (substance)"
"protostat"	"372602008"	"metronidazole (substance)"
"metryl"	"372602008"	"metronidazole (substance)"
"rozex"	"372602008"	"metronidazole (substance)"
"nuvessa"	"372602008"	"metronidazole (substance)"
"metrolotion"	"372602008"	"metronidazole (substance)"
"vandazole"	"372602008"	"metronidazole (substance)"
"sentry aq mardel clout"	"372602008"	"metronidazole (substance)"
"flagyl"	"372602008"	"metronidazole (substance)"
"wal-zyr itchy eye"	"372642003"	"ketotifen (substance)"
"zaditor"	"372642003"	"ketotifen (substance)"
"refresh eye itch relief"	"372642003"	"ketotifen (substance)"
"alaway"	"372642003"	"ketotifen (substance)"
"claritin eye"	"372642003"	"ketotifen (substance)"
"zyrtec itchy eye"	"372642003"	"ketotifen (substance)"
"promit"	"372650007"	"dextran (substance)"
"duricef"	"372651006"	"cefadroxil (substance)"
"cefa"	"372651006"	"cefadroxil (substance)"
"ultracef"	"372651006"	"cefadroxil (substance)"
"pamelor"	"372652004"	"nortriptyline (substance)"
"myrac"	"372653009"	"minocycline (substance)"
"solodyn"	"372653009"	"minocycline (substance)"
"ximino"	"372653009"	"minocycline (substance)"
"vectrin"	"372653009"	"minocycline (substance)"
"dynacin"	"372653009"	"minocycline (substance)"
"arestin"	"372653009"	"minocycline (substance)"
"cleeravue-m"	"372653009"	"minocycline (substance)"
"minocin"	"372653009"	"minocycline (substance)"
"naftin"	"372655002"	"naftifine (substance)"
"benzacot"	"372657005"	"trimethobenzamide (substance)"
"ticon"	"372657005"	"trimethobenzamide (substance)"
"tigan"	"372657005"	"trimethobenzamide (substance)"
"vaseretic"	"372658000"	"enalapril (substance)"
"vasotec"	"372658000"	"enalapril (substance)"
"epaned"	"372658000"	"enalapril (substance)"
"lexxel"	"372658000"	"enalapril (substance)"
"optimine"	"372662006"	"azatadine (substance)"
"polaramine repetabs"	"372663001"	"dexchlorpheniramine (substance)"
"polaramine"	"372663001"	"dexchlorpheniramine (substance)"
"rocephin"	"372670001"	"ceftriaxone (substance)"
"max hc"	"372671002"	"hydrocodone (substance)"
"mintuss mr"	"372671002"	"hydrocodone (substance)"
"de-chlor nx"	"372671002"	"hydrocodone (substance)"
"hycodan"	"372671002"	"hydrocodone (substance)"
"hysingla"	"372671002"	"hydrocodone (substance)"
"procof"	"372671002"	"hydrocodone (substance)"
"hydromide"	"372671002"	"hydrocodone (substance)"
"hydron kgs"	"372671002"	"hydrocodone (substance)"
"hydrophene dh"	"372671002"	"hydrocodone (substance)"
"h-c tussive-nr"	"372671002"	"hydrocodone (substance)"
"xylon"	"372671002"	"hydrocodone (substance)"
"atuss ex"	"372671002"	"hydrocodone (substance)"
"rezira"	"372671002"	"hydrocodone (substance)"
"cytuss-hc nr"	"372671002"	"hydrocodone (substance)"
"mintuss nx"	"372671002"	"hydrocodone (substance)"
"entuss expectorant"	"372671002"	"hydrocodone (substance)"
"tusdec-hc"	"372671002"	"hydrocodone (substance)"
"ibudone"	"372671002"	"hydrocodone (substance)"
"p-v-tussin"	"372671002"	"hydrocodone (substance)"
"dicomal-dh"	"372671002"	"hydrocodone (substance)"
"hy-kxp"	"372671002"	"hydrocodone (substance)"
"codamine"	"372671002"	"hydrocodone (substance)"
"statuss green"	"372671002"	"hydrocodone (substance)"
"rolatuss with hydrocodone"	"372671002"	"hydrocodone (substance)"
"poly hist hc"	"372671002"	"hydrocodone (substance)"
"nalex-dh"	"372671002"	"hydrocodone (substance)"
"prolex dh"	"372671002"	"hydrocodone (substance)"
"coldcough hcm"	"372671002"	"hydrocodone (substance)"
"tussplex"	"372671002"	"hydrocodone (substance)"
"reprexain"	"372671002"	"hydrocodone (substance)"
"q-tuss with hydrocodone"	"372671002"	"hydrocodone (substance)"
"protuss"	"372671002"	"hydrocodone (substance)"
"lortuss hc"	"372671002"	"hydrocodone (substance)"
"histex hc"	"372671002"	"hydrocodone (substance)"
"zohydro"	"372671002"	"hydrocodone (substance)"
"hytussin"	"372671002"	"hydrocodone (substance)"
"codimal dh"	"372671002"	"hydrocodone (substance)"
"hydropane"	"372671002"	"hydrocodone (substance)"
"zymine hc"	"372671002"	"hydrocodone (substance)"
"histussin d"	"372671002"	"hydrocodone (substance)"
"tri-vent hc"	"372671002"	"hydrocodone (substance)"
"de-chlor mr"	"372671002"	"hydrocodone (substance)"
"tussigon"	"372671002"	"hydrocodone (substance)"
"protuss-d"	"372671002"	"hydrocodone (substance)"
"entuss-d liquid"	"372671002"	"hydrocodone (substance)"
"hypamine"	"372671002"	"hydrocodone (substance)"
"symtan"	"372671002"	"hydrocodone (substance)"
"hyco-dh"	"372671002"	"hydrocodone (substance)"
"hydrotropine"	"372671002"	"hydrocodone (substance)"
"histinex d"	"372671002"	"hydrocodone (substance)"
"pancof hc"	"372671002"	"hydrocodone (substance)"
"vetuss hc syrup"	"372671002"	"hydrocodone (substance)"
"hycomine"	"372671002"	"hydrocodone (substance)"
"iotussin d liquid"	"372671002"	"hydrocodone (substance)"
"trimal dh"	"372671002"	"hydrocodone (substance)"
"procof d"	"372671002"	"hydrocodone (substance)"
"hydron ex"	"372671002"	"hydrocodone (substance)"
"hydromet"	"372671002"	"hydrocodone (substance)"
"vicoprofen"	"372671002"	"hydrocodone (substance)"
"hycophen pediatric"	"372671002"	"hydrocodone (substance)"
"hycomal dh"	"372671002"	"hydrocodone (substance)"
"zotex hc"	"372671002"	"hydrocodone (substance)"
"marcof expectorant"	"372671002"	"hydrocodone (substance)"
"excof"	"372671002"	"hydrocodone (substance)"
"kgs-hc"	"372671002"	"hydrocodone (substance)"
"donatussin max"	"372671002"	"hydrocodone (substance)"
"gastrocrom"	"372672009"	"cromolyn (substance)"
"intal"	"372672009"	"cromolyn (substance)"
"nasalcrom"	"372672009"	"cromolyn (substance)"
"opticrom"	"372672009"	"cromolyn (substance)"
"crolom"	"372672009"	"cromolyn (substance)"
"altazine"	"372673004"	"tetrahydrozoline (substance)"
"visine ac"	"372673004"	"tetrahydrozoline (substance)"
"clarine"	"372673004"	"tetrahydrozoline (substance)"
"eye-sine"	"372673004"	"tetrahydrozoline (substance)"
"optigene"	"372673004"	"tetrahydrozoline (substance)"
"tetrasine"	"372673004"	"tetrahydrozoline (substance)"
"murine plus"	"372673004"	"tetrahydrozoline (substance)"
"mallazine"	"372673004"	"tetrahydrozoline (substance)"
"visine"	"372673004"	"tetrahydrozoline (substance)"
"tyzine"	"372673004"	"tetrahydrozoline (substance)"
"oxy 500"	"372675006"	"oxytetracycline (substance)"
"liquamycin"	"372675006"	"oxytetracycline (substance)"
"bio-mycin"	"372675006"	"oxytetracycline (substance)"
"300 pro la"	"372675006"	"oxytetracycline (substance)"
"5-way calf scour bolus"	"372675006"	"oxytetracycline (substance)"
"urobiotic"	"372675006"	"oxytetracycline (substance)"
"hexasol"	"372675006"	"oxytetracycline (substance)"
"tetroxy"	"372675006"	"oxytetracycline (substance)"
"terramycin with polymyxin b sulfate"	"372675006"	"oxytetracycline (substance)"
"terramycin"	"372675006"	"oxytetracycline (substance)"
"terra-vet"	"372675006"	"oxytetracycline (substance)"
"terak"	"372675006"	"oxytetracycline (substance)"
"tija"	"372675006"	"oxytetracycline (substance)"
"noromycin"	"372675006"	"oxytetracycline (substance)"
"ocusulf-10"	"372676007"	"sulfacetamide (substance)"
"sulfacet-r"	"372676007"	"sulfacetamide (substance)"
"novacet"	"372676007"	"sulfacetamide (substance)"
"v.v.s."	"372676007"	"sulfacetamide (substance)"
"ovace"	"372676007"	"sulfacetamide (substance)"
"mexar"	"372676007"	"sulfacetamide (substance)"
"zetacet"	"372676007"	"sulfacetamide (substance)"
"isopto cetamide"	"372676007"	"sulfacetamide (substance)"
"suphera"	"372676007"	"sulfacetamide (substance)"
"rosula"	"372676007"	"sulfacetamide (substance)"
"sultrin triple sulfa"	"372676007"	"sulfacetamide (substance)"
"sulfatol"	"372676007"	"sulfacetamide (substance)"
"bp cleansing wash"	"372676007"	"sulfacetamide (substance)"
"sulfacet sodium"	"372676007"	"sulfacetamide (substance)"
"ak-sulf"	"372676007"	"sulfacetamide (substance)"
"plexion"	"372676007"	"sulfacetamide (substance)"
"seb-prev"	"372676007"	"sulfacetamide (substance)"
"avar"	"372676007"	"sulfacetamide (substance)"
"sulzee wash"	"372676007"	"sulfacetamide (substance)"
"gyne sulf"	"372676007"	"sulfacetamide (substance)"
"bleph-10"	"372676007"	"sulfacetamide (substance)"
"sulf-10"	"372676007"	"sulfacetamide (substance)"
"topisulf"	"372676007"	"sulfacetamide (substance)"
"klaron"	"372676007"	"sulfacetamide (substance)"
"s.o.s.s."	"372676007"	"sulfacetamide (substance)"
"rosula ns"	"372676007"	"sulfacetamide (substance)"
"cetamide"	"372676007"	"sulfacetamide (substance)"
"clenia"	"372676007"	"sulfacetamide (substance)"
"claris"	"372676007"	"sulfacetamide (substance)"
"rosanil"	"372676007"	"sulfacetamide (substance)"
"bp 10-wash"	"372676007"	"sulfacetamide (substance)"
"sebizon"	"372676007"	"sulfacetamide (substance)"
"sumaxin"	"372676007"	"sulfacetamide (substance)"
"carmol scalp"	"372676007"	"sulfacetamide (substance)"
"nicosyn"	"372676007"	"sulfacetamide (substance)"
"rosaderm cleanser"	"372676007"	"sulfacetamide (substance)"
"rosac"	"372676007"	"sulfacetamide (substance)"
"prascion"	"372676007"	"sulfacetamide (substance)"
"cerisa wash"	"372676007"	"sulfacetamide (substance)"
"trysul"	"372676007"	"sulfacetamide (substance)"
"clarifoam"	"372676007"	"sulfacetamide (substance)"
"zencia wash"	"372676007"	"sulfacetamide (substance)"
"sodium sulamyd"	"372676007"	"sulfacetamide (substance)"
"sumadan wash"	"372676007"	"sulfacetamide (substance)"
"lincobac"	"372677003"	"lincomycin (substance)"
"bactramycin"	"372677003"	"lincomycin (substance)"
"l-mycin"	"372677003"	"lincomycin (substance)"
"lincomed"	"372677003"	"lincomycin (substance)"
"lincorex"	"372677003"	"lincomycin (substance)"
"lincocin"	"372677003"	"lincomycin (substance)"
"histex syrup"	"372678008"	"triprolidine (substance)"
"prohist cf"	"372678008"	"triprolidine (substance)"
"zymine"	"372678008"	"triprolidine (substance)"
"zymine xr"	"372678008"	"triprolidine (substance)"
"vanahist pd"	"372678008"	"triprolidine (substance)"
"tripohist"	"372678008"	"triprolidine (substance)"
"histex pd reformulated mar 2014"	"372678008"	"triprolidine (substance)"
"beldin"	"372682005"	"diphenhydramine (substance)"
"dr. cocoa nighttime cough and cold"	"372682005"	"diphenhydramine (substance)"
"buckley's bedtime formula"	"372682005"	"diphenhydramine (substance)"
"triaminic cough & runny nose"	"372682005"	"diphenhydramine (substance)"
"bydramine"	"372682005"	"diphenhydramine (substance)"
"pediacare nighttime multi-symptom cold"	"372682005"	"diphenhydramine (substance)"
"benadryl allergy sinus"	"372682005"	"diphenhydramine (substance)"
"benadryl-d fastmelt allergy and sinus"	"372682005"	"diphenhydramine (substance)"
"uni-hist"	"372682005"	"diphenhydramine (substance)"
"siladryl"	"372682005"	"diphenhydramine (substance)"
"dimetapp nighttime cold & congestion"	"372682005"	"diphenhydramine (substance)"
"compoz"	"372682005"	"diphenhydramine (substance)"
"triaminic night time cold & cough"	"372682005"	"diphenhydramine (substance)"
"after bite plus"	"372682005"	"diphenhydramine (substance)"
"banophen"	"372682005"	"diphenhydramine (substance)"
"benadryl"	"372682005"	"diphenhydramine (substance)"
"hc-derma-pax"	"372682005"	"diphenhydramine (substance)"
"advil pm"	"372682005"	"diphenhydramine (substance)"
"benadryl itch stopping"	"372682005"	"diphenhydramine (substance)"
"diphenadryl"	"372682005"	"diphenhydramine (substance)"
"nervine"	"372682005"	"diphenhydramine (substance)"
"pardryl"	"372682005"	"diphenhydramine (substance)"
"advil pm liqui-gels"	"372682005"	"diphenhydramine (substance)"
"elixsure allergy"	"372682005"	"diphenhydramine (substance)"
"diphenyl"	"372682005"	"diphenhydramine (substance)"
"allergia-c"	"372682005"	"diphenhydramine (substance)"
"belix"	"372682005"	"diphenhydramine (substance)"
"wal-dryl-d"	"372682005"	"diphenhydramine (substance)"
"wal-dryl"	"372682005"	"diphenhydramine (substance)"
"sebrx"	"372682005"	"diphenhydramine (substance)"
"dytan-cd"	"372682005"	"diphenhydramine (substance)"
"benadryl-d allergy and sinus"	"372682005"	"diphenhydramine (substance)"
"dytan-cs"	"372682005"	"diphenhydramine (substance)"
"wal-som"	"372682005"	"diphenhydramine (substance)"
"dermarest insect bite spray"	"372682005"	"diphenhydramine (substance)"
"wal-sleep z"	"372682005"	"diphenhydramine (substance)"
"zzztime"	"372682005"	"diphenhydramine (substance)"
"paxidorm"	"372682005"	"diphenhydramine (substance)"
"tussinate"	"372682005"	"diphenhydramine (substance)"
"dytan-d chewable"	"372682005"	"diphenhydramine (substance)"
"robitussin night time cough & cold"	"372682005"	"diphenhydramine (substance)"
"diphendryl"	"372682005"	"diphenhydramine (substance)"
"unisom sleep"	"372682005"	"diphenhydramine (substance)"
"diphenylin"	"372682005"	"diphenhydramine (substance)"
"pediacare children's allergy"	"372682005"	"diphenhydramine (substance)"
"sleepinal"	"372682005"	"diphenhydramine (substance)"
"valu-dryl"	"372682005"	"diphenhydramine (substance)"
"correct dose childrens allergy relief"	"372682005"	"diphenhydramine (substance)"
"wal-dryl pe"	"372682005"	"diphenhydramine (substance)"
"derma-pax"	"372682005"	"diphenhydramine (substance)"
"dytan-hc"	"372682005"	"diphenhydramine (substance)"
"zzzquil"	"372682005"	"diphenhydramine (substance)"
"sominex"	"372682005"	"diphenhydramine (substance)"
"vetadryl"	"372682005"	"diphenhydramine (substance)"
"nu-med"	"372682005"	"diphenhydramine (substance)"
"diphedryl"	"372682005"	"diphenhydramine (substance)"
"siladyl"	"372682005"	"diphenhydramine (substance)"
"somnapure"	"372682005"	"diphenhydramine (substance)"
"rindal hpd"	"372682005"	"diphenhydramine (substance)"
"wal-dryl allergy"	"372682005"	"diphenhydramine (substance)"
"pediacare children's allergy & cold"	"372682005"	"diphenhydramine (substance)"
"banophen cream"	"372682005"	"diphenhydramine (substance)"
"tekral"	"372682005"	"diphenhydramine (substance)"
"rx-act ibuprofen pm"	"372682005"	"diphenhydramine (substance)"
"aleve pm"	"372682005"	"diphenhydramine (substance)"
"tusstat"	"372682005"	"diphenhydramine (substance)"
"tact cream"	"372682005"	"diphenhydramine (substance)"
"theraflu multi symptom"	"372682005"	"diphenhydramine (substance)"
"benylin multi-symptom"	"372682005"	"diphenhydramine (substance)"
"dytuss"	"372682005"	"diphenhydramine (substance)"
"motrin pm"	"372682005"	"diphenhydramine (substance)"
"zzz sleep"	"372682005"	"diphenhydramine (substance)"
"alka-seltzer plus allergy"	"372682005"	"diphenhydramine (substance)"
"40 winks"	"372682005"	"diphenhydramine (substance)"
"di-delamine"	"372682005"	"diphenhydramine (substance)"
"z-sleep"	"372682005"	"diphenhydramine (substance)"
"atopalm itch relief"	"372682005"	"diphenhydramine (substance)"
"allermax"	"372682005"	"diphenhydramine (substance)"
"doans pm"	"372682005"	"diphenhydramine (substance)"
"diphenhist"	"372682005"	"diphenhydramine (substance)"
"scot-tussin allergy"	"372682005"	"diphenhydramine (substance)"
"delsym children's nighttime cough and cold"	"372682005"	"diphenhydramine (substance)"
"genahist"	"372682005"	"diphenhydramine (substance)"
"hydramine"	"372682005"	"diphenhydramine (substance)"
"dytan"	"372682005"	"diphenhydramine (substance)"
"endal hd"	"372682005"	"diphenhydramine (substance)"
"dicopanol"	"372682005"	"diphenhydramine (substance)"
"tact cool jelly"	"372682005"	"diphenhydramine (substance)"
"simply sleep"	"372682005"	"diphenhydramine (substance)"
"dytan-at"	"372682005"	"diphenhydramine (substance)"
"dalay"	"372682005"	"diphenhydramine (substance)"
"qlearquil nighttime allergy relief"	"372682005"	"diphenhydramine (substance)"
"somnicaps"	"372682005"	"diphenhydramine (substance)"
"rest simply"	"372682005"	"diphenhydramine (substance)"
"diphen"	"372682005"	"diphenhydramine (substance)"
"dytan-d"	"372682005"	"diphenhydramine (substance)"
"altaryl"	"372682005"	"diphenhydramine (substance)"
"antihist"	"372682005"	"diphenhydramine (substance)"
"aldex ct"	"372682005"	"diphenhydramine (substance)"
"nytol"	"372682005"	"diphenhydramine (substance)"
"robitussin night time cough & chest congestion"	"372682005"	"diphenhydramine (substance)"
"diphenhist with zinc"	"372682005"	"diphenhydramine (substance)"
"dermarest anti-itch"	"372682005"	"diphenhydramine (substance)"
"tavist nighttime allergy"	"372682005"	"diphenhydramine (substance)"
"actifed allergy day/night"	"372682005"	"diphenhydramine (substance)"
"dermamycin"	"372682005"	"diphenhydramine (substance)"
"wal-som maximum strength"	"372682005"	"diphenhydramine (substance)"
"wal-dryl childrens"	"372682005"	"diphenhydramine (substance)"
"aler-dryl"	"372682005"	"diphenhydramine (substance)"
"kids-eeze allergy"	"372682005"	"diphenhydramine (substance)"
"delsym night time cough and cold reformulated jan "	"372682005"	"diphenhydramine (substance)"
"twilite"	"372682005"	"diphenhydramine (substance)"
"periactin"	"372683000"	"cyproheptadine (substance)"
"amoxi-tabs"	"372687004"	"amoxicillin (substance)"
"moxilin"	"372687004"	"amoxicillin (substance)"
"clavamox"	"372687004"	"amoxicillin (substance)"
"amoxil"	"372687004"	"amoxicillin (substance)"
"amoxicot"	"372687004"	"amoxicillin (substance)"
"wymox"	"372687004"	"amoxicillin (substance)"
"biomox"	"372687004"	"amoxicillin (substance)"
"senox"	"372687004"	"amoxicillin (substance)"
"dispermox"	"372687004"	"amoxicillin (substance)"
"amoxi drop"	"372687004"	"amoxicillin (substance)"
"augmentin"	"372687004"	"amoxicillin (substance)"
"trimox"	"372687004"	"amoxicillin (substance)"
"moxatag"	"372687004"	"amoxicillin (substance)"
"amoclan"	"372687004"	"amoxicillin (substance)"
"valchlor"	"372692002"	"mechlorethamine (substance)"
"mustargen"	"372692002"	"mechlorethamine (substance)"
"e.s.p."	"372694001"	"erythromycin (substance)"
"maracyn"	"372694001"	"erythromycin (substance)"
"emcin clear"	"372694001"	"erythromycin (substance)"
"ery-sol"	"372694001"	"erythromycin (substance)"
"ornacyn"	"372694001"	"erythromycin (substance)"
